Legal,Statement
30,มาตรา 30  การใด ๆ อันบุคคลวิกลจริตซึ่งศาลยังมิได้สั่งให้เป็นคนไร้ความสามารถได้กระทำลง การนั้นจะเป็นโมฆียะต่อเมื่อได้กระทำในขณะที่บุคคลนั้นจริตวิกลอยู่ และคู่กรณีอีกฝ่ายหนึ่งได้รู้แล้วด้วยว่าผู้กระทำเป็นคนวิกลจริต
31,มาตรา 31  ถ้าเหตุที่ทำให้เป็นคนไร้ความสามารถได้สิ้นสุดไปแล้ว และเมื่อบุคคลผู้นั้นเองหรือบุคคลใด ๆ ดังกล่าวมาในมาตรา 28 ร้องขอต่อศาลก็ให้ศาลสั่งเพิกถอนคำสั่งที่ให้เป็นคนไร้ความสามารถนั้น คำสั่งของศาลตามมาตรานี้ ให้ประกาศในราชกิจจานุเบกษา
32,มาตรา 32  บุคคลใดมีกายพิการหรือมีจิตฟั่นเฟือนไม่สมประกอบ หรือประพฤติสุรุ่ยสุร่ายเสเพลเป็นอาจิณ หรือติดสุรายาเมา หรือมีเหตุอื่นใดทำนองเดียวกันนั้น จนไม่สามารถจะจัดทำการงานโดยตนเองได้ หรือจัดกิจการไปในทางที่อาจจะเสื่อมเสียแก่ทรัพย์สินของตนเองหรือครอบครัว เมื่อบุคคลตามที่ระบุไว้ในมาตรา 28 ร้องขอต่อศาล ศาลจะสั่งให้บุคคลนั้นเป็นคนเสมือนไร้ความสามารถก็ได้ บุคคลซึ่งศาลได้สั่งให้เป็นคนเสมือนไร้ความสามารถตามวรรคหนึ่ง ต้องจัดให้อยู่ในความพิทักษ์ การแต่งตั้งผู้พิทักษ์ ให้เป็นไปตามบทบัญญัติบรรพ 5 แห่งประมวลกฎหมายนี้ ให้นำบทบัญญัติว่าด้วยการสิ้นสุดของความเป็นผู้ปกครองในบรรพ 5 แห่งประมวลกฎหมายนี้ มาใช้บังคับแก่การสิ้นสุดของการเป็นผู้พิทักษ์โดยอนุโลม คำสั่งของศาลตามมาตรานี้ ให้ประกาศในราชกิจจานุเบกษา
33,มาตรา 33  ในคดีที่มีการร้องขอให้ศาลสั่งให้บุคคลใดเป็นคนไร้ความสามารถเพราะวิกลจริต ถ้าทางพิจารณาได้ความว่าบุคคลนั้นไม่วิกลจริต แต่มีจิตฟั่นเฟือนไม่สมประกอบ เมื่อศาลเห็นสมควรหรือเมื่อมีคำขอของคู่ความหรือของบุคคลตามที่ระบุไว้ในมาตรา 28 ศาลอาจสั่งให้บุคคลนั้นเป็นคนเสมือนไร้ความสามารถก็ได้ หรือในคดีที่มีการร้องขอให้ศาลสั่งให้บุคคลใดเป็นคนเสมือนไร้ความสามารถเพราะมีจิตฟั่นเฟือนไม่สมประกอบ ถ้าทางพิจารณาได้ความว่าบุคคลนั้นวิกลจริต เมื่อมีคำขอของคู่ความหรือของบุคคลตามที่ระบุไว้ในมาตรา 28 ศาลอาจสั่งให้บุคคลนั้นเป็นคนไร้ความสามารถก็ได้
34,มาตรา 34  คนเสมือนไร้ความสามารถนั้น ต้องได้รับความยินยอมของผู้พิทักษ์ก่อนแล้วจึงจะทำการอย่างหนึ่งอย่างใดดังต่อไปนี้ได้ (1) นำทรัพย์สินไปลงทุน (2) รับคืนทรัพย์สินที่ไปลงทุน ต้นเงินหรือทุนอย่างอื่น (3) กู้ยืมหรือให้กู้ยืมเงิน ยืมหรือให้ยืมสังหาริมทรัพย์อันมีค่า (4) รับประกันโดยประการใด ๆ อันมีผลให้ตนต้องถูกบังคับชำระหนี้ (5) เช่าหรือให้เช่าสังหาริมทรัพย์มีกำหนดระยะเวลาเกินกว่าหกเดือน หรืออสังหาริมทรัพย์มีกำหนดระยะเวลาเกินกว่าสามปี (6) ให้โดยเสน่หา เว้นแต่การให้ที่พอควรแก่ฐานานุรูป เพื่อการกุศล การสังคม หรือตามหน้าที่ธรรมจรรยา (7) รับการให้โดยเสน่หาที่มีเงื่อนไขหรือค่าภาระติดพัน หรือไม่รับการให้โดยเสน่หา (8) ทำการอย่างหนึ่งอย่างใดเพื่อจะได้มาหรือปล่อยไปซึ่งสิทธิในอสังหาริมทรัพย์หรือในสังหาริมทรัพย์อันมีค่า (9) ก่อสร้างหรือดัดแปลงโรงเรือนหรือสิ่งปลูกสร้างอย่างอื่น หรือซ่อมแซมอย่างใหญ่ (10) เสนอคดีต่อศาลหรือดำเนินกระบวนพิจารณาใด ๆ เว้นแต่การร้องขอตามมาตรา 35 หรือการร้องขอถอนผู้พิทักษ์ (11) ประนีประนอมยอมความหรือมอบข้อพิพาทให้อนุญาโตตุลาการวินิจฉัย ถ้ามีกรณีอื่นใดนอกจากที่กล่าวในวรรคหนึ่ง ซึ่งคนเสมือนไร้ความสามารถอาจจัดการไปในทางเสื่อมเสียแก่ทรัพย์สินของตนเองหรือครอบครัว ในการสั่งให้บุคคลใดเป็นคนเสมือนไร้ความสามารถ หรือเมื่อผู้พิทักษ์ร้องขอในภายหลัง ศาลมีอำนาจสั่งให้คนเสมือนไร้ความสามารถนั้นต้องได้รับความยินยอมของผู้พิทักษ์ก่อนจึงจะทำการนั้นได้ ในกรณีที่คนเสมือนไร้ความสามารถไม่สามารถจะทำการอย่างหนึ่งอย่างใดที่กล่าวมาในวรรคหนึ่งหรือวรรคสองได้ด้วยตนเอง เพราะเหตุมีกายพิการหรือมีจิตฟั่นเฟือนไม่สมประกอบ ศาลจะสั่งให้ผู้พิทักษ์เป็นผู้มีอำนาจกระทำการนั้นแทนคนเสมือนไร้ความสามารถก็ได้ ในกรณีเช่นนี้ ให้นำบทบัญญัติที่เกี่ยวกับผู้อนุบาลมาใช้บังคับแก่ผู้พิทักษ์โดยอนุโลม คำสั่งของศาลตามมาตรานี้ ให้ประกาศในราชกิจจานุเบกษา การใดกระทำลงโดยฝ่าฝืนบทบัญญัติมาตรานี้ การนั้นเป็นโมฆียะ
35,มาตรา 35  ในกรณีที่ผู้พิทักษ์ไม่ยินยอมให้คนเสมือนไร้ความสามารถกระทำการอย่างหนึ่งอย่างใดตามมาตรา 34 โดยปราศจากเหตุผลอันสมควร เมื่อคนเสมือนไร้ความสามารถร้องขอ ศาลจะมีคำสั่งอนุญาตให้กระทำการนั้นโดยไม่ต้องรับความยินยอมจากผู้พิทักษ์ก็ได้ ถ้าการนั้นจะเป็นคุณประโยชน์แก่คนเสมือนไร้ความสามารถ
36,มาตรา 36  ถ้าเหตุที่ศาลได้สั่งให้เป็นคนเสมือนไร้ความสามารถได้สิ้นสุดไปแล้ว ให้นำบทบัญญัติมาตรา 31 มาใช้บังคับโดยอนุโลม
37,มาตรา 37  ภูมิลำเนาของบุคคลธรรมดา ได้แก่ถิ่นอันบุคคลนั้นมีสถานที่อยู่เป็นแหล่งสำคัญ
38,มาตรา 38  ถ้าบุคคลธรรมดามีถิ่นที่อยู่หลายแห่งซึ่งอยู่สับเปลี่ยนกันไปหรือมีหลักแหล่งที่ทำการงานเป็นปกติหลายแห่ง ให้ถือเอาแห่งใดแห่งหนึ่งเป็นภูมิลำเนาของบุคคลนั้น
39,มาตรา 39  ถ้าภูมิลำเนาไม่ปรากฏ ให้ถือว่าถิ่นที่อยู่เป็นภูมิลำเนา
40,มาตรา 40  บุคคลธรรมดาซึ่งเป็นผู้ไม่มีที่อยู่ปกติเป็นหลักแหล่ง หรือเป็นผู้ครองชีพในการเดินทางไปมาปราศจากหลักแหล่งที่ทำการงาน พบตัวในถิ่นไหนให้ถือว่าถิ่นนั้นเป็นภูมิลำเนาของบุคคลนั้น
41,มาตรา 41  ภูมิลำเนาย่อมเปลี่ยนไปด้วยการย้ายถิ่นที่อยู่ พร้อมด้วยเจตนาปรากฏชัดแจ้งว่าจะเปลี่ยนภูมิลำเนา
42,มาตรา 42  ถ้าบุคคลใดได้เลือกเอาถิ่นใด โดยมีเจตนาปรากฏชัดแจ้งว่าจะให้เป็นภูมิลำเนาเฉพาะการเพื่อทำการใด ให้ถือว่าถิ่นนั้นเป็นภูมิลำเนาเฉพาะการสำหรับการนั้น
43,มาตรา 43  ภูมิลำเนาของสามีและภริยา ได้แก่ถิ่นที่อยู่ที่สามีและภริยาอยู่กินด้วยกันฉันสามีภริยา เว้นแต่สามีหรือภริยาได้แสดงเจตนาให้ปรากฏว่ามีภูมิลำเนาแยกต่างหากจากกัน
44,มาตรา 44  ภูมิลำเนาของผู้เยาว์ ได้แก่ภูมิลำเนาของผู้แทนโดยชอบธรรมซึ่งเป็นผู้ใช้อำนาจปกครองหรือผู้ปกครอง ในกรณีที่ผู้เยาว์อยู่ใต้อำนาจปกครองของบิดามารดา ถ้าบิดาและมารดามีภูมิลำเนาแยกต่างหากจากกัน ภูมิลำเนาของผู้เยาว์ได้แก่ภูมิลำเนาของบิดาหรือมารดาซึ่งตนอยู่ด้วย
45,มาตรา 45  ภูมิลำเนาของคนไร้ความสามารถ ได้แก่ภูมิลำเนาของผู้อนุบาล
46,มาตรา 46  ภูมิลำเนาของข้าราชการ ได้แก่ถิ่นอันเป็นที่ทำการตามตำแหน่งหน้าที่ หากมิใช่เป็นตำแหน่งหน้าที่ชั่วคราวชั่วระยะเวลาหรือเป็นเพียงแต่งตั้งไปเฉพาะการครั้งเดียวคราวเดียว
47,มาตรา 47  ภูมิลำเนาของผู้ที่ถูกจำคุกตามคำพิพากษาถึงที่สุดของศาลหรือตามคำสั่งโดยชอบด้วยกฎหมาย ได้แก่เรือนจำหรือทัณฑสถานที่ถูกจำคุกอยู่ จนกว่าจะได้รับการปล่อยตัว
48,มาตรา 48  ถ้าบุคคลใดไปเสียจากภูมิลำเนาหรือถิ่นที่อยู่โดยมิได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และไม่มีใครรู้แน่ว่าบุคคลนั้นยังมีชีวิตอยู่หรือไม่ เมื่อผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอ ศาลจะสั่งให้ทำการอย่างหนึ่งอย่างใดไปพลางก่อนตามที่จำเป็นเพื่อจัดการทรัพย์สินของบุคคลผู้ไม่อยู่นั้นก็ได้ เมื่อเวลาได้ล่วงเลยไปหนึ่งปีนับแต่วันที่ผู้ไม่อยู่นั้นไปเสียจากภูมิลำเนาหรือถิ่นที่อยู่ และไม่มีผู้ใดได้รับข่าวเกี่ยวกับบุคคลนั้นประการใดเลยก็ดี หรือหนึ่งปีนับแต่วันมีผู้ได้พบเห็นหรือได้ทราบข่าวมาเป็นครั้งหลังสุดก็ดี เมื่อบุคคลตามวรรคหนึ่งร้องขอ ศาลจะตั้งผู้จัดการทรัพย์สินของผู้ไม่อยู่ขึ้นก็ได้
49,มาตรา 49  ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม
50,มาตรา 50  เมื่อผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอ ศาลจะสั่งให้ตัวแทนผู้รับมอบอำนาจทั่วไปจัดทำบัญชีทรัพย์สินของผู้ไม่อยู่ขึ้นตามที่ศาลจะมีคำสั่งก็ได้
51,มาตรา 51  ภายใต้บังคับมาตรา 802 ถ้าตัวแทนผู้รับมอบอำนาจทั่วไปเห็นเป็นการจำเป็นจะต้องทำการอันใดอันหนึ่งเกินขอบอำนาจที่ได้รับไว้ ต้องขออนุญาตต่อศาล และเมื่อศาลสั่งอนุญาตแล้วจึงจะกระทำการนั้นได้
52,มาตรา 52  ผู้จัดการทรัพย์สินที่ศาลได้ตั้งขึ้น ต้องทำบัญชีทรัพย์สินของผู้ไม่อยู่ให้เสร็จภายในสามเดือนนับแต่วันทราบคำสั่งตั้งของศาล แต่ผู้จัดการทรัพย์สินจะร้องขอต่อศาลให้ขยายเวลาก็ได้
53,มาตรา 53  บัญชีทรัพย์สินตามมาตรา 50 และมาตรา 52 ต้องมีพยานลงลายมือชื่อรับรองความถูกต้องอย่างน้อยสองคน พยานสองคนนั้นต้องเป็นคู่สมรสหรือญาติของผู้ไม่อยู่ซึ่งบรรลุนิติภาวะแล้ว แต่ถ้าไม่มีคู่สมรสหรือหาญาติไม่ได้ หรือคู่สมรสและญาติไม่ยอมเป็นพยาน จะให้ผู้อื่นซึ่งบรรลุนิติภาวะแล้วเป็นพยานก็ได้
54,มาตรา 54  ผู้จัดการทรัพย์สินมีอำนาจหน้าที่อย่างเดียวกับตัวแทนผู้รับมอบอำนาจทั่วไปตามมาตรา 801 และมาตรา 802 ถ้าผู้จัดการทรัพย์สินเห็นเป็นการจำเป็นจะต้องทำการอันใดอันหนึ่งเกินขอบอำนาจ ต้องขออนุญาตต่อศาล และเมื่อศาลสั่งอนุญาตแล้วจึงจะกระทำการนั้นได้
55,มาตรา 55  ถ้าผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจเฉพาะการอันใดไว้ ผู้จัดการทรัพย์สินจะเข้าไปเกี่ยวข้องกับการอันเป็นอำนาจเฉพาะการนั้นไม่ได้ แต่ถ้าปรากฏว่าการที่ตัวแทนจัดทำอยู่นั้นอาจจะเสียหายแก่ผู้ไม่อยู่ ผู้จัดการทรัพย์สินจะร้องขอให้ศาลถอดถอนตัวแทนนั้นเสียก็ได้
56,มาตรา 56  เมื่อผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอ หรือเมื่อศาลเห็นสมควรศาลอาจสั่งอย่างหนึ่งอย่างใดดังต่อไปนี้ (1) ให้ผู้จัดการทรัพย์สินหาประกันอันสมควรในการจัดการทรัพย์สินของผู้ไม่อยู่ตลอดจนการมอบคืนทรัพย์สินนั้น (2) ให้ผู้จัดการทรัพย์สินแถลงถึงความเป็นอยู่แห่งทรัพย์สินของผู้ไม่อยู่ (3) ถอดถอนผู้จัดการทรัพย์สิน และตั้งผู้อื่นให้เป็นผู้จัดการทรัพย์สินแทนต่อไป
57,มาตรา 57  ในคำสั่งตั้งผู้จัดการทรัพย์สิน ศาลจะกำหนดบำเหน็จให้แก่ผู้จัดการทรัพย์สินโดยจ่ายจากทรัพย์สินของผู้ไม่อยู่นั้นก็ได้ ถ้าศาลมิได้กำหนด ผู้จัดการทรัพย์สินจะร้องขอต่อศาลให้กำหนดบำเหน็จในภายหลังก็ได้ ถ้าผู้จัดการทรัพย์สิน หรือผู้มีส่วนได้เสีย หรือพนักงานอัยการร้องขอ หรือเมื่อมีกรณีปรากฏแก่ศาลว่า พฤติการณ์เกี่ยวกับการจัดการทรัพย์สินได้เปลี่ยนแปลงไป ศาลจะสั่งกำหนดบำเหน็จ งด ลด เพิ่ม หรือกลับให้บำเหน็จแก่ผู้จัดการทรัพย์สินอีกก็ได้
58,มาตรา 58  ความเป็นผู้จัดการทรัพย์สินย่อมสิ้นสุดลงในกรณี ดังต่อไปนี้ (1) ผู้ไม่อยู่นั้นกลับมา (2) ผู้ไม่อยู่นั้นมิได้กลับมาแต่ได้จัดการทรัพย์สินหรือตั้งตัวแทนเพื่อจัดการทรัพย์สินของตนแล้ว (3) ผู้ไม่อยู่ถึงแก่ความตายหรือศาลมีคำสั่งให้เป็นคนสาบสูญ (4) ผู้จัดการทรัพย์สินลาออกหรือถึงแก่ความตาย (5) ผู้จัดการทรัพย์สินเป็นคนไร้ความสามารถหรือคนเสมือนไร้ความสามารถ (6) ผู้จัดการทรัพย์สินเป็นบุคคลล้มละลาย (7) ศาลถอดถอนผู้จัดการทรัพย์สิน
59,มาตรา 59  ในกรณีที่ความเป็นผู้จัดการทรัพย์สินสิ้นสุดลงเพราะเหตุตามมาตรา 58 (4) (5) หรือ (6) ผู้จัดการทรัพย์สินหรือทายาทของผู้จัดการทรัพย์สิน ผู้จัดการมรดก ผู้อนุบาล ผู้พิทักษ์ เจ้าพนักงานพิทักษ์ทรัพย์ หรือผู้มีหน้าที่ดูแลทรัพย์สินของผู้จัดการทรัพย์สิน แล้วแต่กรณี จะต้องแถลงให้ศาลทราบถึงความสิ้นสุดนั้นโดยไม่ชักช้าเพื่อศาลจะได้มีคำสั่งเกี่ยวกับผู้จัดการทรัพย์สินต่อไปตามที่เห็นสมควร ในระหว่างเวลาดังกล่าวนั้น บุคคลดังกล่าวจะต้องจัดการตามควรแก่พฤติการณ์เพื่อรักษาประโยชน์ของผู้ไม่อยู่ จนกว่าจะได้ส่งมอบทรัพย์สินของผู้ไม่อยู่ให้แก่บุคคลหนึ่งบุคคลใดตามที่ศาลจะได้มีคำสั่ง
60,มาตรา 60  ให้นำบทบัญญัติว่าด้วยตัวแทนแห่งประมวลกฎหมายนี้ มาใช้บังคับแก่การจัดการทรัพย์สินของผู้ไม่อยู่โดยอนุโลม
61,มาตรา 61  ถ้าบุคคลใดได้ไปจากภูมิลำเนาหรือถิ่นที่อยู่ และไม่มีใครรู้แน่ว่าบุคคลนั้นยังมีชีวิตอยู่หรือไม่ตลอดระยะเวลาห้าปี เมื่อผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอ ศาลจะสั่งให้บุคคลนั้นเป็นคนสาบสูญก็ได้ ระยะเวลาตามวรรคหนึ่งให้ลดเหลือสองปี (1) นับแต่วันที่การรบหรือสงครามสิ้นสุดลง ถ้าบุคคลนั้นอยู่ในการรบหรือสงคราม และหายไปในการรบหรือสงครามดังกล่าว (2) นับแต่วันที่ยานพาหนะที่บุคคลนั้นเดินทาง อับปาง ถูกทำลาย หรือสูญหายไป (3) นับแต่วันที่เหตุอันตรายแก่ชีวิตนอกจากที่ระบุไว้ใน (1) หรือ (2) ได้ผ่านพ้นไป ถ้าบุคคลนั้นตกอยู่ในอันตรายเช่นว่านั้น
62,มาตรา 62  บุคคลซึ่งศาลได้มีคำสั่งให้เป็นคนสาบสูญ ให้ถือว่าถึงแก่ความตายเมื่อครบกำหนดระยะเวลาดังที่ระบุไว้ในมาตรา 61
63,มาตรา 63  เมื่อบุคคลผู้ถูกศาลสั่งให้เป็นคนสาบสูญนั้นเองหรือผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอต่อศาล และพิสูจน์ได้ว่าบุคคลผู้ถูกศาลสั่งให้เป็นคนสาบสูญนั้นยังคงมีชีวิตอยู่ก็ดี หรือว่าตายในเวลาอื่นผิดไปจากเวลาดังระบุไว้ในมาตรา 62 ก็ดี ให้ศาลสั่งถอนคำสั่งให้เป็นคนสาบสูญนั้น แต่การถอนคำสั่งนี้ย่อมไม่กระทบกระเทือนถึงความสมบูรณ์แห่งการทั้งหลายอันได้ทำไปโดยสุจริตในระหว่างเวลาตั้งแต่ศาลมีคำสั่งให้เป็นคนสาบสูญจนถึงเวลาถอนคำสั่งนั้น บุคคลผู้ได้ทรัพย์สินมาเนื่องแต่การที่ศาลสั่งให้บุคคลใดเป็นคนสาบสูญ แต่ต้องเสียสิทธิของตนไปเพราะศาลสั่งถอนคำสั่งให้บุคคลนั้นเป็นคนสาบสูญ ให้นำบทบัญญัติว่าด้วยลาภมิควรได้แห่งประมวลกฎหมายนี้มาใช้บังคับโดยอนุโลม
64,มาตรา 64  คำสั่งศาลให้เป็นคนสาบสูญหรือคำสั่งถอนคำสั่งให้เป็นคนสาบสูญ ให้ประกาศในราชกิจจานุเบกษา
65,มาตรา 65  นิติบุคคลจะมีขึ้นได้ก็แต่ด้วยอาศัยอำนาจแห่งประมวลกฎหมายนี้หรือกฎหมายอื่น
66,มาตรา 66  นิติบุคคลย่อมมีสิทธิและหน้าที่ตามบทบัญญัติแห่งประมวลกฎหมายนี้หรือกฎหมายอื่น ภายในขอบแห่งอำนาจหน้าที่หรือวัตถุประสงค์ดังได้บัญญัติหรือกำหนดไว้ในกฎหมาย ข้อบังคับ หรือตราสารจัดตั้ง
67,มาตรา 67  ภายใต้บังคับมาตรา 66 นิติบุคคลย่อมมีสิทธิและหน้าที่เช่นเดียวกับบุคคลธรรมดา เว้นแต่สิทธิและหน้าที่ซึ่งโดยสภาพจะพึงมีพึงเป็นได้เฉพาะแก่บุคคลธรรมดาเท่านั้น
68,มาตรา 68  ภูมิลำเนาของนิติบุคคลได้แก่ถิ่นอันเป็นที่ตั้งสำนักงานใหญ่หรือถิ่นอันเป็นที่ตั้งที่ทำการ หรือถิ่นที่ได้เลือกเอาเป็นภูมิลำเนาเฉพาะการตามข้อบังคับหรือตราสารจัดตั้ง
69,มาตรา 69  ในกรณีที่นิติบุคคลมีที่ตั้งที่ทำการหลายแห่งหรือมีสำนักงานสาขา ให้ถือว่าถิ่นอันเป็นที่ตั้งของที่ทำการหรือของสำนักงานสาขาเป็นภูมิลำเนาในส่วนกิจการอันได้กระทำ ณ ที่นั้นด้วย
70,มาตรา 70  นิติบุคคลต้องมีผู้แทนคนหนึ่งหรือหลายคน  ทั้งนี้ ตามที่กฎหมาย ข้อบังคับ หรือตราสารจัดตั้งจะได้กำหนดไว้ ความประสงค์ของนิติบุคคลย่อมแสดงออกโดยผู้แทนของนิติบุคคล
71,มาตรา 71  ในกรณีที่นิติบุคคลมีผู้แทนหลายคน การดำเนินกิจการของนิติบุคคลให้เป็นไปตามเสียงข้างมากของผู้แทนของนิติบุคคลนั้น เว้นแต่จะได้มีข้อกำหนดไว้เป็นประการอื่นในกฎหมาย ข้อบังคับ หรือตราสารจัดตั้ง
72,มาตรา 72  การเปลี่ยนตัวผู้แทนของนิติบุคคล หรือการจำกัดหรือแก้ไขเปลี่ยนแปลงอำนาจของผู้แทนของนิติบุคคล ให้มีผลต่อเมื่อได้ปฏิบัติตามกฎหมาย ข้อบังคับหรือตราสารจัดตั้งแล้ว แต่จะยกขึ้นเป็นข้อต่อสู้บุคคลภายนอกผู้กระทำการโดยสุจริตมิได้
73,มาตรา 73  ถ้ามีตำแหน่งว่างลงในจำนวนผู้แทนของนิติบุคคล และมีเหตุอันควรเชื่อว่าการปล่อยตำแหน่งว่างไว้น่าจะเกิดความเสียหายขึ้นได้ เมื่อผู้มีส่วนได้เสียหรือพนักงานอัยการร้องขอศาลจะแต่งตั้งผู้แทนชั่วคราวขึ้นก็ได้
74,มาตรา 74  ถ้าประโยชน์ได้เสียของนิติบุคคลขัดกับประโยชน์ได้เสียของผู้แทนของนิติบุคคลในการอันใด ผู้แทนของนิติบุคคลนั้นจะเป็นผู้แทนในการอันนั้นไม่ได้
